계,컴퍼,회사,월,P,마지막,약대22,약대24,약대28,30,31,36,37,38,39,48,49,60,61
22-03,디케이프리텍,K,1000,25,23-04,23-12,24-02,24-06,24-08,24-09,25-02,25-03,25-04,25-05,26-02,26-03,27-02,27-03
22-03,일산캐리어,K,500,25,23-03,23-12,24-02,24-06,24-08,24-09,25-02,25-03,25-04,25-05,26-02,26-03,27-02,27-03
22-04,케이프피쉬인터내셔널(프리),K,1000,30,23-05,24-01,24-03,24-07,24-09,24-10,25-03,25-04,25-05,25-06,26-03,26-04,27-03,27-04
22-04,가드에스와이에스(프리),K,1000,30,23-05,24-01,24-03,24-07,24-09,24-10,25-03,25-04,25-05,25-06,26-03,26-04,27-03,27-04
22-04,스마트씨앤아이(프리),K,500,30,23-05,24-01,24-03,24-07,24-09,24-10,25-03,25-04,25-05,25-06,26-03,26-04,27-03,27-04
22-04,스마트씨앤아이(프리),H,500,30,23-05,24-01,24-03,24-07,24-09,24-10,25-03,25-04,25-05,25-06,26-03,26-04,27-03,27-04
22-04,우리엘엔지,S,1000,30,23-06,24-01,24-03,24-07,24-09,24-10,25-03,25-04,25-05,25-06,26-03,26-04,27-03,27-04
22-05,프리테크원,K,1000,30,23-06,24-02,24-04,24-08,24-10,24-11,25-04,25-05,25-06,25-07,26-04,26-05,27-04,27-05
22-05,대선이엔지,K,500,30,23-06,24-02,24-04,24-08,24-10,24-11,25-04,25-05,25-06,25-07,26-04,26-05,27-04,27-05
22-06,에스엘코스메틱,NH,1000,30,23-07,24-03,24-05,24-09,24-11,24-12,25-05,25-06,25-07,25-08,26-05,26-06,27-05,27-06
22-06,이노뷰,SH,500,30,23-07,24-03,24-05,24-09,24-11,24-12,25-05,25-06,25-07,25-08,26-05,26-06,27-05,27-06
22-07,대림(프리),SH,1000,30,23-08,24-04,24-06,24-10,24-12,25-01,25-06,25-07,25-08,25-09,26-06,26-07,27-06,27-07
22-07,디에프케이바이오랩,KB,1000,30,23-08,24-04,24-06,24-10,24-12,25-01,25-06,25-07,25-08,25-09,26-06,26-07,27-06,27-07
22-07,이노뷰,SH,500,30,23-08,24-04,24-06,24-10,24-12,25-01,25-06,25-07,25-08,25-09,26-06,26-07,27-06,27-07
22-08,잇츠,K/KB,2007,30,23-09,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-08,애드피에스(500만계약이관),k/NH,1000,30,23-09,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-08,아르셀라,S,1000,30,23-10,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-08,무로코퍼레이션,S,1000,30,23-10,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-08,사계절,DB,1000,30,23-10,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-08,유리앤파트너스,H,1000,30,23-09,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-09,창원인터내셔널,NH/SH,1001,30,23-10,24-06,24-08,24-12,25-02,25-03,25-08,25-09,25-10,25-11,26-08,26-09,27-08,27-09
22-09,더원비앤에프,SH,1000,30,23-10,24-06,24-08,24-12,25-02,25-03,25-08,25-09,25-10,25-11,26-08,26-09,27-08,27-09
22-09,송광유화개발,H,1000,30,23-10,24-06,24-08,24-12,25-02,25-03,25-08,25-09,25-10,25-11,26-08,26-09,27-08,27-09
22-09,동원농산종묘주식,NH,500,30,23-10,24-06,24-08,24-12,25-02,25-03,25-08,25-09,25-10,25-11,26-08,26-09,27-08,27-09
22-10,아이앤비케어,NH/K,1000,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,대영모터(계약이관),H,1000,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-11,다온데크,KB 2건,1005,30,23-12,24-08,24-10,25-02,25-04,25-05,25-10,25-11,25-12,26-01,26-10,26-11,27-10,27-11
22-11,서원이엔씨,KB,1002,30,23-12,24-08,24-10,25-02,25-04,25-05,25-10,25-11,25-12,26-01,26-10,26-11,27-10,27-11
22-11,코리아이피디,SH,1000,30,23-11,24-08,24-10,25-02,25-04,25-05,25-10,25-11,25-12,26-01,26-10,26-11,27-10,27-11
22-12,코리아이피디,K,1000,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,가온물산,SH/KB,2008,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
23-01,지열공조시스템,DB,1003,30,24-01,24-10,24-12,25-04,25-06,25-07,25-12,26-01,26-02,26-03,26-12,27-01,27-12,28-01
23-01,지케미,SH,2002,36,24-02,24-10,24-12,25-04,25-06,25-07,25-12,26-01,26-02,26-03,26-12,27-01,27-12,28-01
23-02,21세기(코드),SH/KB,1005,30,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-02,에스티엠토파스(프리),K/KB/SH,1329,36,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-02,유성푸드,DB,1800,36,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-03,카파클락,S/SH,1004,36,24-05,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-03,더아트팩토리,KB/DB,1001,36,24-04,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-03,케이앤티,K/SH/KB/NH,2009,36,24-05,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-04,"인터내셔널세미컨덕터그룹
 (5월계약반영)","K/KB
 SH/KDB",4957,36,24-05,25-01,25-03,25-07,25-09,25-10,26-03,26-04,26-05,26-06,27-03,27-04,28-03,28-04
23-04,아이앤비케어,SH/KB,1205,36,24-06,25-01,25-03,25-07,25-09,25-10,26-03,26-04,26-05,26-06,27-03,27-04,28-03,28-04
23-05,뱅가드랩,K/KDB,2000,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,한인종합건축사사무소,S/SH/NH,2000,36,24-07,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,성지원,KDB,2000,36,24-07,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,나스코,SH/NH,1000,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,아이앤비케어,KDB,800,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-06,아이파워,SH/KDB,1000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,하론,KDB/M,2000,36,24-09,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,코리아이피디,K,1500,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,티에스엠테크,M,1000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,하이스트팜,S,978,36,24-08,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-07,라코어,KDB,1000,37,24-08,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,마케팅피플,S,1000,37,24-08,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,더블유엔아이,S/NH,1000,37,24-08,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,슬라운드(계약이관),S,2000,37,24-09,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-08,다온데크,S/SH,2000,38,24-08,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,디자인패러다임,SH,502,48,24-08,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,어빌리티코리아,SH/S/K,1001,38,24-08,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,선진전자통신,S,500,38,24-08,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-09,지피티,M,1000,38,24-12,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-09,오토큐브,M/K,1000,38,24-11,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-09,픽센,SH/K,1000,38,24-09,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-09,윈투스시스템,S,1500,38,24-09,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-09,혼다강북,S,2000,38,24-09,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-09,삼양페이퍼피더블유,S,1000,38,24-09,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-09,에스제이테크,K/NH,1000,38,24-10,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
